117	6669	7227	15101	36	2776	5505	123	10110	16	3573	18944	7359	55003	87	5297	0	25852	30361	34836	2725	8924	2796	274	7976	155	16327
2385	208	0	35	23837	0	0	27	1207	933	0	6253	89	1	3684	0	0	2291	911	618	7246	9	1	0	4267	0	61
8527	5	1843	24	14648	0	0	14953	3366	0	2204	2289	2	1	18784	0	613	2849	48	7661	2619	0	0	0	1289	0	326
4539	10	8	1234	16181	149	839	337	10164	19	8	1183	1042	460	6525	4	1	1822	2927	9	1644	535	445	0	2619	0	80200
20863	269	9427	32733	13287	3902	2094	782	6315	190	486	19414	8992	37315	594	3454	1068	70758	23901	12353	118	9385	2360	4406	5746	13	125631
6138	0	1	0	7675	3513	0	0	5242	0	0	943	0	4	14784	0	0	5580	30	2521	2439	0	0	0	247	0	28114
3958	91	0	28	8326	29	264	9912	3481	0	0	1586	168	587	3959	0	0	4750	1636	217	1231	0	0	0	128	1	22397
39294	539	0	34	92779	64	0	59	27121	0	0	259	474	400	17295	6	0	1160	378	6381	1682	0	535	0	522	0	20474
3838	1758	9101	8072	9043	4663	6159	17	161	0	1493	11040	10012	64642	12944	882	23	9590	28335	31882	113	5066	5	454	0	1129	13833
838	0	0	0	1526	0	0	0	4	0	0	0	0	0	1221	0	0	0	0	0	1607	0	0	0	0	0	0
91	4	3	1	6394	178	10	204	2926	0	0	160	4	3344	29	0	0	1	786	0	1	2	70	0	98	0	5039
9517	32	197	12054	21439	3892	165	7	15201	0	1475	20177	784	437	8385	304	0	300	1410	2533	1855	682	884	0	14280	0	16351
13719	1058	1	30	20516	570	0	3	9982	0	7	123	2369	176	9274	4406	0	5681	2031	73	5539	1	2	0	4745	0	11654
3696	144	9964	39348	21922	1490	30971	240	5969	469	2677	2645	85	5106	23016	177	389	504	8726	20964	1194	1433	392	304	4983	9	49530
665	2288	1519	4474	588	25136	741	967	2446	121	2533	5224	14992	37687	9478	3806	30	28862	6739	17477	40012	3664	11958	140	691	33	40230
6499	87	0	2	10857	1	12	494	2888	0	1	5776	27	3	6680	4603	0	8426	852	2223	1167	0	3	0	743	0	1671
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4132	0	0	0	0	0	0
10731	248	2360	5587	46153	1288	1186	663	14415	5	883	2697	2526	3435	13043	914	1	4456	12965	9877	2266	1354	535	0	9794	0	50263
8746	258	2103	132	24430	821	308	18738	12810	1	585	869	1164	228	12154	4635	67	32	11932	23169	9639	3	781	0	461	0	65458
10294	11	724	4	26143	535	10	84923	20053	0	1	4753	480	383	33831	17	0	5911	4130	7107	4616	0	1936	2	4549	46	76415
2769	1604	6160	1551	2326	443	5429	0	2963	0	13	12917	1432	9242	74	3362	0	15071	12319	12546	0	10	0	40	33	33	7389
1985	0	0	0	28729	0	0	0	5279	0	0	0	0	0	1426	0	0	7	0	1	36	0	0	0	112	0	51
18305	31	6	56	12049	662	3	13437	14423	0	83	415	6	3135	8430	7	0	787	544	9	2	0	12	0	10	0	6774
428	0	1025	0	460	33	0	36	657	0	0	31	0	0	52	1479	30	0	32	850	53	62	1	128	4	0	396
153	282	1	192	2667	57	0	4	1036	0	0	220	489	113	12533	10	0	39	2814	827	0	0	65	0	0	0	47635
812	0	0	0	368	0	5	0	60	0	0	36	0	0	5	0	0	0	0	0	6	1	37	0	104	137	13
90186	38500	30550	22668	21173	28813	12102	66548	56120	3442	4451	17384	42702	22803	46130	20067	1918	14877	58888	102869	6970	6504	57628	186	14102	28	0
